ARD,RTW,No_RTW,rtw_pct
01/21,149,104,0.5889328063241107
02/21,232,133,0.6356164383561644
03/21,238,150,0.6134020618556701
04/21,180,136,0.569620253164557
05/21,218,135,0.6175637393767706
06/21,194,142,0.5773809523809523
07/21,241,153,0.6116751269035533
08/21,223,125,0.6408045977011494
09/21,152,113,0.5735849056603773
