ARD,RTW,No_RTW,rtw_pct
01/21,167,86,0.6600790513833992
02/21,234,131,0.6410958904109589
03/21,271,117,0.6984536082474226
04/21,205,111,0.6487341772151899
05/21,242,111,0.6855524079320113
06/21,257,79,0.7648809523809523
07/21,318,76,0.8071065989847716
08/21,283,65,0.8132183908045977
09/21,218,47,0.8226415094339623
11/20,243,94,0.7210682492581603
12/20,229,100,0.6960486322188449
